genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
Alternative,dvsn,Miss Me?,65,0.0778,0.822,219667,0.521,0.000102,C#,0.0945,-6.347,Minor,0.102,76.013,4/4,0.22,260
Alternative,System Of A Down,Lonely Day,68,0.362,0.47,167907,0.796,1.11e-06,G#,0.133,-3.277,Minor,0.0336,113.108,3/4,0.215,246
Alternative,Limp Bizkit,Break Stuff,68,0.0125,0.426,166707,0.894,0.00041,G#,0.187,-6.699,Major,0.174,108.725,4/4,0.63,219
Alternative,Pearl Jam,Yellow Ledbetter,66,0.29,0.504,303587,0.354,4.71e-06,E,0.157,-11.3,Major,0.0339,140.87,4/4,0.292,205
Alternative,Janelle Monáe,I Like That,64,0.0323,0.482,200338,0.453,0.00243,C,0.149,-8.864,Major,0.059,134.799,4/4,0.17,255
Alternative,The Black Keys,Lo/Hi,66,0.0151,0.606,177768,0.679,0.000433,D,0.0962,-7.445,Major,0.0321,122.016,4/4,0.707,187
Alternative,Hollywood Undead,Undead,62,0.0146,0.511,265053,0.937,0.0,D,0.304,-5.116,Minor,0.115,163.141,4/4,0.484,243
Alternative,The Score,Stronger,64,0.0232,0.267,190987,0.67,0.0,D,0.312,-4.688,Minor,0.0807,191.883,3/4,0.114,149
Alternative,Sabrina Claudio,Confidently Lost,63,0.272,0.666,209885,0.39,9.39e-06,F,0.111,-8.575,Major,0.0838,113.866,4/4,0.325,103
Alternative,The Score,Glory,64,0.111,0.564,166693,0.613,3.22e-06,B,0.0825,-5.055,Major,0.0318,84.951,4/4,0.48,271
Alternative,Hoobastank,The Reason,71,0.0105,0.474,232800,0.672,0.0,E,0.142,-4.678,Major,0.028,83.029,4/4,0.0649,109
Alternative,grandson,Bury Me Face Down,62,0.0187,0.39,231667,0.629,4.12e-05,C#,0.0658,-4.876,Minor,0.0469,141.983,4/4,0.162,144
Alternative,The Offspring,Pretty Fly (For A White Guy),70,0.112,0.722,188667,0.901,0.0,B,0.0674,-3.66,Minor,0.105,143.401,4/4,0.963,216
Alternative,GoldLink,Maniac,63,0.0674,0.812,189613,0.606,0.00245,C#,0.173,-6.768,Major,0.0448,132.976,4/4,0.0813,320
Alternative,Slipknot,Wait and Bleed,67,0.00208,0.382,147840,0.996,0.0,G,0.417,-4.119,Major,0.104,93.345,4/4,0.327,225
